2025-02-25 17:08:00,322 - INFO - Year: 1976, Protection Level: 0.05, RF: 0.000761272001266479, Adjusted RF: 0.01576127200126648, IV: 0.16015258522388504, Start Price: 107.45999908447266, Put Strike: 102.08699913024901, Bond Capital: 0.0155167089312368, Put Premium: 3.1225758190809536, Call Price: 7.002334446860537, Participation Rate: 0.6840577785845781
2025-02-25 17:08:00,322 - INFO - Year: 1976, Protection Level: 0.1, RF: 0.000761272001266479, Adjusted RF: 0.01576127200126648, IV: 0.16015258522388504, Start Price: 107.45999908447266, Put Strike: 96.7139991760254, Bond Capital: 0.0155167089312368, Put Premium: 1.628798008516899, Call Price: 7.002334446860537, Participation Rate: 0.47073209100137736
2025-02-25 17:08:00,322 - INFO - Year: 1976, Protection Level: 0.15, RF: 0.000761272001266479, Adjusted RF: 0.01576127200126648, IV: 0.16015258522388504, Start Price: 107.45999908447266, Put Strike: 91.34099922180175, Bond Capital: 0.0155167089312368, Put Premium: 0.7352839396913105, Call Price: 7.002334446860537, Participation Rate: 0.3431297784288622
2025-02-25 17:08:00,323 - INFO - Year: 1976, Protection Level: 0.2, RF: 0.000761272001266479, Adjusted RF: 0.01576127200126648, IV: 0.16015258522388504, Start Price: 107.45999908447266, Put Strike: 85.96799926757814, Bond Capital: 0.0155167089312368, Put Premium: 0.2780700207878848, Call Price: 7.002334446860537, Participation Rate: 0.2778352795195142
2025-02-25 17:08:00,323 - INFO - Year: 1977, Protection Level: 0.05, RF: 0.0007417630528829181, Adjusted RF: 0.01574176305288292, IV: 0.16015258522388504, Start Price: 95.0999984741211, Put Strike: 90.34499855041504, Bond Capital: 0.015497800351902402, Put Premium: 2.764020827033889, Call Price: 6.195988838534213, Participation Rate: 0.683968568583573
2025-02-25 17:08:00,323 - INFO - Year: 1977, Protection Level: 0.1, RF: 0.0007417630528829181, Adjusted RF: 0.01574176305288292, IV: 0.16015258522388504, Start Price: 95.0999984741211, Put Strike: 85.58999862670899, Bond Capital: 0.015497800351902402, Put Premium: 1.4418179584244157, Call Price: 6.195988838534213, Participation Rate: 0.4705719820070441
2025-02-25 17:08:00,323 - INFO - Year: 1977, Protection Level: 0.15, RF: 0.0007417630528829181, Adjusted RF: 0.01574176305288292, IV: 0.16015258522388504, Start Price: 95.0999984741211, Put Strike: 80.83499870300292, Bond Capital: 0.015497800351902402, Put Premium: 0.6509013967506849, Call Price: 6.195988838534213, Participation Rate: 0.342922210149024
2025-02-25 17:08:00,323 - INFO - Year: 1977, Protection Level: 0.2, RF: 0.0007417630528829181, Adjusted RF: 0.01574176305288292, IV: 0.16015258522388504, Start Price: 95.0999984741211, Put Strike: 76.07999877929687, Bond Capital: 0.015497800351902402, Put Premium: 0.24616899977581674, Call Price: 6.195988838534213, Participation Rate: 0.27760053066862395
2025-02-25 17:08:00,323 - INFO - Year: 1978, Protection Level: 0.05, RF: 0.00084083871110793, Adjusted RF: 0.01584083871110793, IV: 0.16015258522388504, Start Price: 96.11000061035156, Put Strike: 91.30450057983398, Bond Capital: 0.015593819531026898, Put Premium: 2.790285831295332, Call Price: 6.266619491295614, Participation Rate: 0.6844212963460612
2025-02-25 17:08:00,324 - INFO - Year: 1978, Protection Level: 0.1, RF: 0.00084083871110793, Adjusted RF: 0.01584083871110793, IV: 0.16015258522388504, Start Price: 96.11000061035156, Put Strike: 86.4990005493164, Bond Capital: 0.015593819531026898, Put Premium: 1.4552654912246688, Call Price: 6.266619491295614, Participation Rate: 0.47138453195897545
2025-02-25 17:08:00,324 - INFO - Year: 1978, Protection Level: 0.15, RF: 0.00084083871110793, Adjusted RF: 0.01584083871110793, IV: 0.16015258522388504, Start Price: 96.11000061035156, Put Strike: 81.69350051879883, Bond Capital: 0.015593819531026898, Put Premium: 0.6568422186850569, Call Price: 6.266619491295614, Participation Rate: 0.34397560380422976
2025-02-25 17:08:00,324 - INFO - Year: 1978, Protection Level: 0.2, RF: 0.00084083871110793, Adjusted RF: 0.01584083871110793, IV: 0.16015258522388504, Start Price: 96.11000061035156, Put Strike: 76.88800048828125, Bond Capital: 0.015593819531026898, Put Premium: 0.24836041430642553, Call Price: 6.266619491295614, Participation Rate: 0.27879184644573435
2025-02-25 17:08:00,324 - INFO - Year: 1979, Protection Level: 0.05, RF: 0.000943294353638925, Adjusted RF: 0.015943294353638924, IV: 0.16015258522388504, Start Price: 107.94000244140624, Put Strike: 102.54300231933593, Bond Capital: 0.01569309472511682, Put Premium: 3.1301511648480727, Call Price: 7.043574204043274, Participation Rate: 0.6848886244459821
2025-02-25 17:08:00,324 - INFO - Year: 1979, Protection Level: 0.1, RF: 0.000943294353638925, Adjusted RF: 0.015943294353638924, IV: 0.16015258522388504, Start Price: 107.94000244140624, Put Strike: 97.14600219726562, Bond Capital: 0.01569309472511682, Put Premium: 1.632227446665155, Call Price: 7.043574204043274, Participation Rate: 0.4722233390681332
2025-02-25 17:08:00,324 - INFO - Year: 1979, Protection Level: 0.15, RF: 0.000943294353638925, Adjusted RF: 0.015943294353638924, IV: 0.16015258522388504, Start Price: 107.94000244140624, Put Strike: 91.74900207519529, Bond Capital: 0.01569309472511682, Put Premium: 0.7365642190534043, Call Price: 7.043574204043274, Participation Rate: 0.34506300801098233
2025-02-25 17:08:00,325 - INFO - Year: 1979, Protection Level: 0.2, RF: 0.000943294353638925, Adjusted RF: 0.015943294353638924, IV: 0.16015258522388504, Start Price: 107.94000244140624, Put Strike: 86.352001953125, Bond Capital: 0.01569309472511682, Put Premium: 0.2784400992354401, Call Price: 7.043574204043274, Participation Rate: 0.28002158066930916
2025-02-25 17:08:00,325 - INFO - Year: 1980, Protection Level: 0.05, RF: 0.00114334400062561, Adjusted RF: 0.016143344000625608, IV: 0.16015258522388504, Start Price: 135.75999450683594, Put Strike: 128.97199478149415, Bond Capital: 0.015886876685200835, Put Premium: 3.92810811245959, Call Price: 8.87273623185176, Participation Rate: 0.6857986358401302
2025-02-25 17:08:00,325 - INFO - Year: 1980, Protection Level: 0.1, RF: 0.00114334400062561, Adjusted RF: 0.016143344000625608, IV: 0.16015258522388504, Start Price: 135.75999450683594, Put Strike: 122.18399505615234, Bond Capital: 0.015886876685200835, Put Premium: 2.0476047487392, Call Price: 8.87273623185176, Participation Rate: 0.473856872377167
2025-02-25 17:08:00,325 - INFO - Year: 1980, Protection Level: 0.15, RF: 0.00114334400062561, Adjusted RF: 0.016143344000625608, IV: 0.16015258522388504, Start Price: 135.75999450683594, Put Strike: 115.39599533081055, Bond Capital: 0.015886876685200835, Put Premium: 0.9236394685171252, Call Price: 8.87273623185176, Participation Rate: 0.3471805855078231
2025-02-25 17:08:00,325 - INFO - Year: 1980, Protection Level: 0.2, RF: 0.00114334400062561, Adjusted RF: 0.016143344000625608, IV: 0.16015258522388504, Start Price: 135.75999450683594, Put Strike: 108.60799560546876, Bond Capital: 0.015886876685200835, Put Premium: 0.349002117598352, Call Price: 8.87273623185176, Participation Rate: 0.2824161953689713
2025-02-25 17:08:00,325 - INFO - Year: 1981, Protection Level: 0.05, RF: 0.001392136542385361, Adjusted RF: 0.01639213654238536, IV: 0.16015258522388504, Start Price: 122.5500030517578, Put Strike: 116.4225028991699, Bond Capital: 0.016127767967734297, Put Premium: 3.5360326808045954, Call Price: 8.024870274513525, Participation Rate: 0.6869258325552992
2025-02-25 17:08:00,325 - INFO - Year: 1981, Protection Level: 0.1, RF: 0.001392136542385361, Adjusted RF: 0.01639213654238536, IV: 0.16015258522388504, Start Price: 122.5500030517578, Put Strike: 110.29500274658201, Bond Capital: 0.016127767967734297, Put Premium: 1.8424216817546224, Call Price: 8.024870274513525, Participation Rate: 0.4758805519320381
