protection_level,term,underlying_asset,protection_type,participation_rate,year,volatility,interest_rate,funding_spread,funding_source
0.05,1.0,S&P 500,Buffer,1.1361062432498366,1976,0.2,0.0761272001266479,0.015,default
0.1,1.0,S&P 500,Buffer,1.0151852987905199,1976,0.2,0.0761272001266479,0.015,default
0.15,1.0,S&P 500,Buffer,0.9358833755167243,1976,0.2,0.0761272001266479,0.015,default
0.2,1.0,S&P 500,Buffer,0.8891127170041321,1976,0.2,0.0761272001266479,0.015,default
0.05,1.0,S&P 500,Buffer,1.1370525990444709,1977,0.2,0.0741763052882918,0.015,default
0.1,1.0,S&P 500,Buffer,1.0129110382869044,1977,0.2,0.0741763052882918,0.015,default
0.15,1.0,S&P 500,Buffer,0.9312877789437995,1977,0.2,0.0741763052882918,0.015,default
0.2,1.0,S&P 500,Buffer,0.8830109122796284,1977,0.2,0.0741763052882918,0.015,default
0.05,1.0,S&P 500,Buffer,1.131987993641249,1978,0.2,0.084083871110793,0.015,default
0.1,1.0,S&P 500,Buffer,1.0233915587985052,1978,0.2,0.084083871110793,0.015,default
0.15,1.0,S&P 500,Buffer,0.9529171963782809,1978,0.2,0.084083871110793,0.015,default
0.2,1.0,S&P 500,Buffer,0.9118339571980599,1978,0.2,0.084083871110793,0.015,default
0.05,1.0,S&P 500,Buffer,1.1261638459565226,1979,0.2,0.0943294353638925,0.015,default
0.1,1.0,S&P 500,Buffer,1.0316746054102437,1979,0.2,0.0943294353638925,0.015,default
0.15,1.0,S&P 500,Buffer,0.9711865958627598,1979,0.2,0.0943294353638925,0.015,default
0.2,1.0,S&P 500,Buffer,0.9364528962296796,1979,0.2,0.0943294353638925,0.015,default
0.05,1.0,S&P 500,Buffer,1.113567305835048,1980,0.2,0.114334400062561,0.015,default
0.1,1.0,S&P 500,Buffer,1.041744917379608,1980,0.2,0.114334400062561,0.015,default
0.15,1.0,S&P 500,Buffer,0.996992016526764,1980,0.2,0.114334400062561,0.015,default
0.2,1.0,S&P 500,Buffer,0.9720470094209176,1980,0.2,0.114334400062561,0.015,default
0.05,1.0,S&P 500,Buffer,1.0965832829708555,1981,0.2,0.1392136542385361,0.015,default
0.1,1.0,S&P 500,Buffer,1.0457917429335803,1981,0.2,0.1392136542385361,0.015,default
0.15,1.0,S&P 500,Buffer,1.0152064429744083,1981,0.2,0.1392136542385361,0.015,default
0.2,1.0,S&P 500,Buffer,0.9987857917792317,1981,0.2,0.1392136542385361,0.015,default
0.05,1.0,S&P 500,Buffer,1.1029419379585943,1982,0.2,0.1300550198459242,0.015,default
0.1,1.0,S&P 500,Buffer,1.0451985786663986,1982,0.2,0.1300550198459242,0.015,default
0.15,1.0,S&P 500,Buffer,1.0099843609417287,1982,0.2,0.1300550198459242,0.015,default
0.2,1.0,S&P 500,Buffer,0.9908145744935043,1982,0.2,0.1300550198459242,0.015,default
0.05,1.0,S&P 500,Buffer,1.1157340618857654,1983,0.2,0.1110300002288818,0.015,default
0.1,1.0,S&P 500,Buffer,1.0405640038447004,1983,0.2,0.1110300002288818,0.015,default
0.15,1.0,S&P 500,Buffer,0.9935143713628506,1983,0.2,0.1110300002288818,0.015,default
0.2,1.0,S&P 500,Buffer,0.9671593224583301,1983,0.2,0.1110300002288818,0.015,default
0.05,1.0,S&P 500,Buffer,1.1066919060248248,1984,0.2,0.1245811244474357,0.015,default
0.1,1.0,S&P 500,Buffer,1.0443732779469952,1984,0.2,0.1245811244474357,0.015,default
0.15,1.0,S&P 500,Buffer,1.0060819438659006,1984,0.2,0.1245811244474357,0.015,default
0.2,1.0,S&P 500,Buffer,0.985064301744139,1984,0.2,0.1245811244474357,0.015,default
0.05,1.0,S&P 500,Buffer,1.1188484311181464,1985,0.2,0.1061979839878697,0.015,default
0.1,1.0,S&P 500,Buffer,1.038514813609031,1985,0.2,0.1061979839878697,0.015,default
0.15,1.0,S&P 500,Buffer,0.9879031155080341,1985,0.2,0.1061979839878697,0.015,default
0.2,1.0,S&P 500,Buffer,0.9593477629997422,1985,0.2,0.1061979839878697,0.015,default
0.05,1.0,S&P 500,Buffer,1.1358092822762187,1986,0.2,0.0767283999061584,0.015,default
0.1,1.0,S&P 500,Buffer,1.015864551697429,1986,0.2,0.0767283999061584,0.015,default
0.15,1.0,S&P 500,Buffer,0.9372651053765607,1986,0.2,0.0767283999061584,0.015,default
0.2,1.0,S&P 500,Buffer,0.8909494088065246,1986,0.2,0.0767283999061584,0.015,default
0.05,1.0,S&P 500,Buffer,1.1320730085886617,1987,0.2,0.0839267998695373,0.015,default
0.1,1.0,S&P 500,Buffer,1.0232453669828747,1987,0.2,0.0839267998695373,0.015,default
0.15,1.0,S&P 500,Buffer,0.9526062477107915,1987,0.2,0.0839267998695373,0.015,default
0.2,1.0,S&P 500,Buffer,0.911417471776511,1987,0.2,0.0839267998695373,0.015,default
0.05,1.0,S&P 500,Buffer,1.129553690347211,1988,0.2,0.0884799998474121,0.015,default
0.1,1.0,S&P 500,Buffer,1.027240848905565,1988,0.2,0.0884799998474121,0.015,default
0.15,1.0,S&P 500,Buffer,0.9612310428614578,1988,0.2,0.0884799998474121,0.015,default
0.2,1.0,S&P 500,Buffer,0.9229982227990922,1988,0.2,0.0884799998474121,0.015,default
0.05,1.0,S&P 500,Buffer,1.1315236946199914,1989,0.2,0.0849372002029418,0.015,default
0.1,1.0,S&P 500,Buffer,1.0241751534818442,1989,0.2,0.0849372002029418,0.015,default
0.15,1.0,S&P 500,Buffer,0.954589452453106,1989,0.2,0.0849372002029418,0.015,default
0.2,1.0,S&P 500,Buffer,0.9140750358530195,1989,0.2,0.0849372002029418,0.015,default
0.05,1.0,S&P 500,Buffer,1.1077601897343519,1990,0.230634782964533,0.0855239998054504,0.015,default
0.1,1.0,S&P 500,Buffer,0.9949068545133237,1990,0.230634782964533,0.0855239998054504,0.015,default
0.15,1.0,S&P 500,Buffer,0.9152511482816671,1990,0.230634782964533,0.0855239998054504,0.015,default
0.2,1.0,S&P 500,Buffer,0.8633945093493907,1990,0.230634782964533,0.0855239998054504,0.015,default
0.05,1.0,S&P 500,Buffer,1.1508748110289884,1991,0.1838466404549218,0.0786244001960754,0.015,default
0.1,1.0,S&P 500,Buffer,1.0386839596702688,1991,0.1838466404549218,0.0786244001960754,0.015,default
0.15,1.0,S&P 500,Buffer,0.969591920384467,1991,0.1838466404549218,0.0786244001960754,0.015,default
0.2,1.0,S&P 500,Buffer,0.932080343428626,1991,0.1838466404549218,0.0786244001960754,0.015,default
0.05,1.0,S&P 500,Buffer,1.194943311008815,1992,0.1545204722787451,0.0700884461307905,0.015,default
